id,prediction,rationale,confidence
140,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
64,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
131,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
61,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
86,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
38,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
132,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
77,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
70,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
115,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
78,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
87,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
75,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
44,1,"Based on analysis of 0 claims: 0 contradicted, 0 supported.",0.7
